,userId,productId
539,A1Y6LC4JFBCGZN,0790747324
1652,A2QE8OSHVY9EJ5,B00004CQTP
1702,AK2AQIULQDFS5,6305508569
2243,A34KBX6VF28QYN,6304286961
2287,A1O40PJC4U0J4Q,6304286961
2342,A3HACSQO6Y6YOX,6304286961
2345,AG65V3LSYO191,6304286961
2967,AM5OE7H256VOR,6304276958
2998,A1P6VO6KWWMD00,B000056PNV
3205,AC1BDK0J99XDH,B000UGBOT0
3426,A1NIRPEUKROH8O,B0095D5454
3493,A1A5Y81Y7QEPE7,B0095D5454
3549,A29WC0FFTCJSNB,6303955746
3550,A2B8PGVJE6RI4O,6303955746
3846,A3AM1XMX1PBHA0,B00000HF14
4414,A1JUEFERW892AR,B00005952Q
4419,A231ZCJGWZA38A,B00005952Q
4427,ADLGLIA7S58HY,B00005952Q
4440,A2ELEZF60S5MF4,B00005952Q
4441,A3VGZ3L8NF8K79,B00005952Q
4461,A3NK56GLC98J38,B00005952Q
4514,A10MH3OBX7DBEY,B00000IC84
4517,A30PO7ZVE58JX1,B00000IC87
4520,A2RRUVAX9A5EFK,B00000IC89
4895,AST7UNIXVOAVA,B002LSIAQU
5058,A375OT7C8ZJCNU,B00000IC8F
5059,A375OT7C8ZJCNU,B00000IC8F
5072,A39BTRV41SBV0P,6304179499
5139,A13738OWIHAR9H,6302999014
6121,A8M4WE1MT4R4O,B00004RQB1
6146,A13DD17X1AZFGJ,B00004RQB1
6198,A15BAKVB9TDMMC,078401115X
6207,ATWZKJPN9JRSP,078401115X
6326,A3OMZZNCZYDK6S,B00004RXMK
6556,A2W1J67OS0VIAO,6304888465
6616,A3HCQCERGTRZI3,B00004RQBF
6687,A3D8SAZPHN07PA,B004SCMGSU
6714,A3IDESEF9P13Y8,B004SCMGSU
6913,A3FCYE7PG9JM9O,B001AQT0VI
6941,A2T1YSTZT30IB9,6305074054
6944,A3LFJZ9LXN2VWQ,6305074054
6946,A21LTP78RNVHAA,6305074054
7132,A2L9RSH5C5QSCX,B000VHVGMI
7231,A3QVAF3N3HIU6,B005LXWYKU
7275,A32C0SAIQF3LWK,B000KGGJ0Y
7309,ACD6KAOJ9X973,B000KGGJ0Y
7878,A3EAIAH53EXJ87,6304204019
7914,A3IFBJC592PN3T,B000I9WVZA
7920,A1TUHNE497M68J,B000I9WVZA
7921,A2H0KZBK9GBKOB,B000I9WVZA
7924,APY3BFDIQ6DFG,B000I9WVZA
7926,A305CH7WF4SXY5,B000I9WVZA
7932,A3FZ7UMJH2HH6W,B000I9WVZA
7933,A23GJ3CTAPCLY8,B000I9WVZA
7934,A3OHNPHP5HTB5M,B000I9WVZA
7960,AS3UXYC6G4XN8,B000I9WVZA
8024,A2798X2P5WHJH7,B000VHVGM8
8025,A18L8UOV42IX0W,B000VHVGM8
8050,A359IV7KSAF7MR,B000VHVGM8
8364,A2GS1JZDOOX4CR,B000A9QK8M
8375,A1BP4KZUGAMZFT,B000A9QK8M
8386,AKGUOCWCVMFMT,B000A9QK8M
8438,A45KSNOH7Z60T,B00004CK9I
9449,A2C2BQSS19PN8X,6301699599
9450,A338KR1ZO71XSI,6301699599
9528,A4RTL4PBUA1D5,6301699599
9542,A2US8UBILY5O88,6301699599
9557,A29UH663BZ88D9,6301699599
9561,A897CDO6TPQG2,6301699599
9567,AUJPV8O34TDDY,6301699599
9588,AJ9R6I52G6811,6301699599
9608,A3PWPNZVMNX3PA,6301699599
9823,A15H52OFAOPWZN,B003F41T2Q
9824,A11FWRP29X2CXE,B003F41T2Q
9868,A22NMPUCP4DAAU,B005UYF7KY
9897,AWM5W0MZYXF29,B005UYF7KY
9916,A1BJ44ON2OV8IB,B000ANVPPQ
9918,A2HAC8QL4Y4Z0S,B000ANVPPQ
9988,AZD7MTO7CZXD1,B000ANVPPQ
9998,A35K9TMGMABTIF,B000ANVPPQ
